word;exp
ء;stop
ؤ;stop
ئ;stop
ا;stop
ا?;stop
ا?ى;stop
االا;stop
االتى;stop
اب;stop
ابتدا;stop
ابدا;stop
ابريل;stop
ابو;stop
ابين;stop
اتخذ;stop
اثر;stop
اثنا;stop
اثنان;stop
اثني;stop
اثنين;stop
اجل;stop
اجمع;stop
احد;stop
احدهما;stop
احدى;stop
اخ;stop
اخبر;stop
اخذ;stop
اخر;stop
اخرى;stop
اخری;stop
اخلولق;stop
اخو;stop
اذ;stop
اذا;stop
اذار;stop
اذما;stop
اذن;stop
اربع;stop
اربعاء;stop
اربعة;stop
اربعمئة;stop
اربعمائة;stop
اربعون;stop
اربعين;stop
ارتد;stop
ارى;stop
ازاء;stop
استحال;stop
اسكن;stop
اصبح;stop
اصلا;stop
اض;stop
اضحى;stop
اطار;stop
اطعم;stop
اعادة;stop
اعطى;stop
اعلم;stop
اعلنت;stop
اغسطس;stop
اف;stop
افريل;stop
افعل;stop
افعله;stop
اقبل;stop
اقل;stop
اكتوبر;stop
اكثر;stop
اكد;stop
ال;stop
الا;stop
الاخيرة;stop
الالاء;stop
الالى;stop
الان;stop
الاول;stop
الاولى;stop
الاولی;stop
التى;stop
التي;stop
الثالث;stop
الثاني;stop
الثانية;stop
الثلاثة;stop
الحالي;stop
الذاتي;stop
الذى;stop
الذي;stop
الذين;stop
السابق;stop
الغير;stop
الف;stop
الفصل;stop
الفى;stop
الكل;stop
اللاتي;stop
اللتان;stop
اللتيا;stop
اللتين;stop
اللذان;stop
اللذين;stop
الله;stop
اللواتي;stop
الماضي;stop
المراد;stop
المقبل;stop
الوقت;stop
الى;stop
الىوراء;stop
الي;stop
اليك;stop
اليكم;stop
اليكما;stop
اليكن;stop
اليه;stop
اليها;stop
اليوم;stop
الی;stop
الیه;stop
ام;stop
اما;stop
امام;stop
امامك;stop
امد;stop
امس;stop
امسى;stop
امين;stop
ان;stop
انا;stop
اناء;stop
انبا;stop
انبرى;stop
انت;stop
انتم;stop
انتما;stop
انتن;stop
انتهو;stop
انشا;stop
انفا;stop
انفك;stop
انقلب;stop
انك;stop
انكم;stop
انما;stop
اننا;stop
انه;stop
انها;stop
انهم;stop
انهما;stop
انى;stop
اني;stop
اه;stop
اها;stop
اهلا;stop
او;stop
اوت;stop
اوشك;stop
اول;stop
اولئك;stop
اولا;stop
اولاء;stop
اولائك;stop
اولالك;stop
اوه;stop
اى;stop
اي;stop
ايا;stop
ايار;stop
اياك;stop
اياكم;stop
اياكما;stop
اياكن;stop
ايام;stop
ايان;stop
ايانا;stop
اياه;stop
اياها;stop
اياهم;stop
اياهما;stop
اياهن;stop
اياي;stop
ايضا;stop
ايلول;stop
اين;stop
ايه;stop
ای;stop
ب;stop
بؤسا;stop
بئس;stop
باء;stop
بات;stop
باتجاه;stop
باسم;stop
بالخارج;stop
بالرغم;stop
بان;stop
بانهم;stop
بجانب;stop
بحسب;stop
بحيث;stop
بخ;stop
بد;stop
بدلا;stop
بدون;stop
بذلك;stop
برح;stop
برس;stop
بس;stop
بسبب;stop
بشكل;stop
بضع;stop
بطان;stop
بطريق;stop
بعد;stop
بعدا;stop
بعض;stop
بعضهم;stop
بغتة;stop
بفضل;stop
بك;stop
بكل;stop
بكم;stop
بل;stop
بلا;stop
بله;stop
بلى;stop
بما;stop
بمن;stop
بن;stop
بنا;stop
به;stop
بها;stop
بهذا;stop
بهم;stop
بي;stop
بيد;stop
بين;stop
بينكم;stop
بينما;stop
بينهم;stop
بينهما;stop
ة;stop
ت;stop
تاء;stop
تارة;stop
تاسع;stop
تان;stop
تانك;stop
تبدل;stop
تجاه;stop
تحت;stop
تحول;stop
تخذ;stop
ترك;stop
تسع;stop
تسعة;stop
تسعمئة;stop
تسعمائة;stop
تسعون;stop
تسعين;stop
تشرين;stop
تعالی;stop
تعسا;stop
تعلم;stop
تفعلان;stop
تفعلون;stop
تفعلين;stop
تكون;stop
تلقاء;stop
تلك;stop
تم;stop
تموز;stop
ته;stop
تي;stop
تين;stop
تينك;stop
ث;stop
ثاء;stop
ثالث;stop
ثامن;stop
ثان;stop
ثاني;stop
ثلاث;stop
ثلاثاء;stop
ثلاثة;stop
ثلاثمئة;stop
ثلاثمائة;stop
ثلاثون;stop
ثلاثين;stop
ثم;stop
ثمان;stop
ثمانمئة;stop
ثمانون;stop
ثماني;stop
ثمانية;stop
ثمانين;stop
ثمة;stop
ثمنمئة;stop
ج;stop
جانفي;stop
جدا;stop
جعل;stop
جلل;stop
جمعة;stop
جميع;stop
جنيه;stop
جوان;stop
جويلية;stop
جير;stop
جيم;stop
ح;stop
حاء;stop
حادي;stop
حار;stop
حاشا;stop
حاليا;stop
حاي;stop
حبذا;stop
حبيب;stop
حتى;stop
حتی;stop
حجا;stop
حدث;stop
حذار;stop
حرى;stop
حزيران;stop
حسب;stop
حقا;stop
حم;stop
حمدا;stop
حمو;stop
حوالى;stop
حول;stop
حي;stop
حيث;stop
حيثما;stop
حين;stop
خ;stop
خاء;stop
خارج;stop
خاصة;stop
خال;stop
خامس;stop
خبر;stop
خلا;stop
خلافا;stop
خلال;stop
خلف;stop
خمس;stop
خمسة;stop
خمسمئة;stop
خمسمائة;stop
خمسون;stop
خمسين;stop
خميس;stop
د;stop
دال;stop
درهم;stop
درى;stop
دواليك;stop
دولار;stop
دون;stop
دونك;stop
ديسمبر;stop
دينار;stop
ذ;stop
ذا;stop
ذات;stop
ذاك;stop
ذال;stop
ذالك;stop
ذان;stop
ذانك;stop
ذلك;stop
ذه;stop
ذهب;stop
ذو;stop
ذى;stop
ذي;stop
ذيت;stop
ذين;stop
ذينك;stop
ر;stop
راء;stop
رابع;stop
راح;stop
راى;stop
رب;stop
ربما;stop
رجع;stop
رزق;stop
رغم;stop
رويدك;stop
ريال;stop
ريث;stop
ز;stop
زاي;stop
زعم;stop
زود;stop
زيارة;stop
س;stop
ساء;stop
سابع;stop
سادس;stop
سبت;stop
سبتمبر;stop
سبحان;stop
سبع;stop
سبعة;stop
سبعمئة;stop
سبعمائة;stop
سبعون;stop
سبعين;stop
ست;stop
ستة;stop
ستكون;stop
ستمئة;stop
ستمائة;stop
ستون;stop
ستين;stop
سحقا;stop
سرا;stop
سرعان;stop
سقى;stop
سمعا;stop
سنة;stop
سنتيم;stop
سنوات;stop
سوف;stop
سوى;stop
سيما;stop
سين;stop
ش;stop
شباط;stop
شبه;stop
شتان;stop
شخصا;stop
شرع;stop
شمال;stop
شيء;stop
شيئا;stop
شيكل;stop
شين;stop
ص;stop
صاد;stop
صار;stop
صباح;stop
صبر;stop
صبرا;stop
صدقا;stop
صراحة;stop
صفر;stop
صه;stop
ض;stop
ضاد;stop
ضحوة;stop
ضد;stop
ضمن;stop
ط;stop
طاء;stop
طاق;stop
طالما;stop
طرا;stop
طفق;stop
طق;stop
ظ;stop
ظاء;stop
ظل;stop
ظن;stop
ع;stop
عاد;stop
عاشر;stop
عام;stop
عاما;stop
عامة;stop
عجبا;stop
عد;stop
عدا;stop
عدة;stop
عدد;stop
عدس;stop
عدم;stop
عسى;stop
عشر;stop
عشرة;stop
عشرون;stop
عشرين;stop
عل;stop
علق;stop
علم;stop
على;stop
علي;stop
عليك;stop
عليكم;stop
علينا;stop
عليه;stop
عليها;stop
عليهم;stop
علی;stop
علیه;stop
عن;stop
"عن
";stop
عنا;stop
عند;stop
عندما;stop
عندنا;stop
عنده;stop
عندهم;stop
عنك;stop
عنه;stop
عنها;stop
عنهم;stop
عنهما;stop
عوض;stop
عيانا;stop
عين;stop
غ;stop
غادر;stop
غالبا;stop
غدا;stop
غداة;stop
غير;stop
غين;stop
غیر;stop
ف;stop
فاء;stop
فاذا;stop
فان;stop
فانا;stop
فانه;stop
فانهم;stop
فبراير;stop
فرادى;stop
فضلا;stop
فقد;stop
فقط;stop
فكان;stop
فكل;stop
فلا;stop
فلان;stop
فلذلك;stop
فلس;stop
فلم;stop
فلما;stop
فما;stop
فمن;stop
فه;stop
فهؤلاء;stop
فهذا;stop
فهل;stop
فهم;stop
فهو;stop
فهي;stop
فو;stop
فوق;stop
فى;stop
في;stop
فيجب;stop
فيفري;stop
فيك;stop
فيكم;stop
فيكون;stop
فيما;stop
فيه;stop
فيها;stop
فيهم;stop
ق;stop
قاطبة;stop
قاف;stop
قال;stop
قام;stop
قبل;stop
قد;stop
قرش;stop
قط;stop
قلت;stop
قلما;stop
قوة;stop
ك;stop
كاد;stop
كاف;stop
كان;stop
كانت;stop
كانون;stop
كاي;stop
كاين;stop
كثير;stop
كثيرا;stop
كثيرة;stop
كخ;stop
كذا;stop
كذلك;stop
كرب;stop
كسا;stop
كقولنا;stop
كل;stop
كلا;stop
كلتا;stop
كلم;stop
كلما;stop
كم;stop
كما;stop
كن;stop
كى;stop
كيت;stop
كيف;stop
كيفما;stop
ل;stop
لئلا;stop
لا;stop
لات;stop
لازال;stop
لاسيما;stop
لام;stop
لان;stop
لانه;stop
لانها;stop
لانهم;stop
لايزال;stop
لبيك;stop
لدن;stop
لدى;stop
لدي;stop
لذا;stop
لذلك;stop
لعل;stop
لعمر;stop
لقاء;stop
لقد;stop
لك;stop
لكل;stop
لكم;stop
لكن;stop
لكنه;stop
لكنها;stop
لكنهم;stop
لكي;stop
للامم;stop
لم;stop
لما;stop
لماذا;stop
لمن;stop
لن;stop
لنا;stop
له;stop
لها;stop
لهذا;stop
لهم;stop
لو;stop
لوكالة;stop
لولا;stop
لوما;stop
لى;stop
لي;stop
ليت;stop
ليرة;stop
ليس;stop
ليسب;stop
م;stop
مئة;stop
مئتان;stop
ما;stop
مائة;stop
ماانفك;stop
مابرح;stop
مادام;stop
ماذا;stop
مارس;stop
مازال;stop
مافتئ;stop
ماي;stop
مايزال;stop
مايو;stop
متى;stop
مثل;stop
مثلا;stop
مذ;stop
مرة;stop
مساء;stop
مع;stop
معاذ;stop
معه;stop
معها;stop
معهم;stop
مقابل;stop
مكانك;stop
مكانكم;stop
مكانكما;stop
مكانكن;stop
مليار;stop
مليم;stop
مليون;stop
مما;stop
من;stop
منا;stop
منذ;stop
منك;stop
منكم;stop
منه;stop
منها;stop
منهم;stop
منهما;stop
مه;stop
مهما;stop
ميم;stop
ن;stop
نا;stop
نبا;stop
نحن;stop
نحو;stop
نخ;stop
نعم;stop
نفس;stop
نفسه;stop
نهاية;stop
نوفمبر;stop
نون;stop
نيسان;stop
نيف;stop
ه;stop
هؤلاء;stop
ها;stop
هاء;stop
هاتان;stop
هاته;stop
هاتي;stop
هاتين;stop
هاك;stop
هب;stop
هتينانا;stop
هج;stop
هذا;stop
هذان;stop
هذه;stop
هذي;stop
هذين;stop
هذينهتان;stop
هل;stop
هلا;stop
هللة;stop
هلم;stop
هم;stop
هما;stop
همزة;stop
هن;stop
هنا;stop
هناك;stop
هنالك;stop
هو;stop
هي;stop
هيا;stop
هيهات;stop
ھذا;stop
ھذه;stop
ھو;stop
و;stop
و6;stop
وا;stop
وابو;stop
واحد;stop
واذ;stop
واذا;stop
واضاف;stop
واضافت;stop
واعلم;stop
واكد;stop
والا;stop
والتي;stop
والثالث;stop
والثاني;stop
والذي;stop
والرابع;stop
والله;stop
واما;stop
وان;stop
وانما;stop
واها;stop
واو;stop
واوضح;stop
وبين;stop
وثي;stop
وجد;stop
وخصوصا;stop
وذلك;stop
وراء;stop
وراءك;stop
وربما;stop
ورد;stop
وشكان;stop
وعلى;stop
وعن;stop
وفقا;stop
وفي;stop
وقال;stop
وقالت;stop
وقد;stop
وقف;stop
وكان;stop
وكانت;stop
وكذلك;stop
